[2024-12-06 13:16:38,273] INFO in __init__: Application startup
[2024-12-06 13:16:39,890] WARNING in _internal:  * Debugger is active!
[2024-12-06 13:16:39,921] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 13:17:09,540] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:17:09] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 13:17:09,856] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:17:09] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 13:17:58,642] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:17:58] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 13:17:58,966] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:17:58] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 13:18:23,164] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:18:23] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 13:18:23,479] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:18:23] "[31m[1mPOST /api/auth/login HTTP/1.1[0m" 401 -
[2024-12-06 13:18:58,659] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\app\\services\\auth_service.py', reloading
[2024-12-06 13:18:59,753] INFO in __init__: Application startup
[2024-12-06 13:19:00,542] WARNING in _internal:  * Debugger is active!
[2024-12-06 13:19:00,558] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 13:20:11,513] INFO in __init__: Application startup
[2024-12-06 13:20:12,107] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:20:12,133] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:20:12,169] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:20:12,172] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:21:34,649] INFO in __init__: Application startup
[2024-12-06 13:21:35,256] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:21:35,279] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:21:35,312] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:21:35,314] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:24:17,021] INFO in __init__: Application startup
[2024-12-06 13:24:17,634] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:24:17,657] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:24:17,696] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:24:17,698] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:25:07,867] INFO in __init__: Application startup
[2024-12-06 13:25:08,474] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:25:08,496] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:25:08,530] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:25:08,532] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:30:01,855] INFO in __init__: Application startup
[2024-12-06 13:30:02,612] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:30:02,635] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:30:02,665] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:30:02,668] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:31:31,432] INFO in __init__: Application startup
[2024-12-06 13:31:32,015] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:31:32,081] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:31:32,398] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:31:32,409] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:31:32,419] INFO in init_db: ²âÊÔÖ°Î»´´½¨Íê³É
[2024-12-06 13:31:32,421] INFO in init_db: ³õÊ¼Êý¾Ý´´½¨Íê³É
[2024-12-06 13:31:32,422] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:32:44,233] INFO in __init__: Application startup
[2024-12-06 13:32:44,937] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 13:32:44,939] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 13:32:44,944] INFO in _internal:  * Restarting with stat
